Fecha,Hora,Duración en segundos,Etapa del sueño
2026.09.13 02:06:00,02:06:00,420,awake
2026.09.13 02:13:00,02:13:00,660,light
2026.09.13 02:24:00,02:24:00,2220,deep
2026.09.13 03:01:00,03:01:00,780,light
2026.09.13 03:14:00,03:14:00,720,deep
2026.09.13 03:26:00,03:26:00,780,light
2026.09.13 03:39:00,03:39:00,480,rem
2026.09.13 03:47:00,03:47:00,1020,light
2026.09.13 04:04:00,04:04:00,660,deep
2026.09.13 04:15:00,04:15:00,1020,light
2026.09.13 04:32:00,04:32:00,720,deep
2026.09.13 04:44:00,04:44:00,720,rem
2026.09.13 04:56:00,04:56:00,780,light
2026.09.13 05:09:00,05:09:00,1440,rem
2026.09.13 05:33:00,05:33:00,1560,deep
2026.09.13 05:59:00,05:59:00,600,rem
2026.09.13 06:09:00,06:09:00,1920,deep
2026.09.13 06:41:00,06:41:00,480,rem
2026.09.13 06:49:00,06:49:00,3240,awake
2026.09.13 07:43:00,07:43:00,600,light
2026.09.13 07:53:00,07:53:00,720,deep
2026.09.13 08:05:00,08:05:00,720,light
2026.09.13 08:17:00,08:17:00,2580,rem
