Fecha,Hora,Frecuencia cardiaca,Origen
2026.09.11 00:00:00,00:00:00,62,
2026.09.11 00:10:00,00:10:00,49,
2026.09.11 00:20:00,00:20:00,49,
2026.09.11 00:30:00,00:30:00,52,
2026.09.11 00:40:00,00:40:00,48,
2026.09.11 00:41:00,00:41:00,49,
2026.09.11 00:50:00,00:50:00,49,
2026.09.11 00:51:00,00:51:00,50,
2026.09.11 01:00:00,01:00:00,47,
2026.09.11 01:01:00,01:01:00,45,
2026.09.11 01:11:00,01:11:00,49,
2026.09.11 01:12:00,01:12:00,50,
2026.09.11 01:20:00,01:20:00,47,
2026.09.11 01:21:00,01:21:00,48,
2026.09.11 01:30:00,01:30:00,51,
2026.09.11 01:31:00,01:31:00,50,
2026.09.11 01:40:00,01:40:00,47,
2026.09.11 01:41:00,01:41:00,49,
2026.09.11 01:50:00,01:50:00,50,
2026.09.11 01:51:00,01:51:00,51,
2026.09.11 02:00:00,02:00:00,42,
2026.09.11 02:01:00,02:01:00,46,
2026.09.11 02:10:00,02:10:00,46,
2026.09.11 02:11:00,02:11:00,53,
2026.09.11 02:20:00,02:20:00,48,
2026.09.11 02:21:00,02:21:00,53,
2026.09.11 02:30:00,02:30:00,49,
2026.09.11 02:31:00,02:31:00,51,
2026.09.11 02:40:00,02:40:00,48,
2026.09.11 02:41:00,02:41:00,48,
2026.09.11 02:50:00,02:50:00,49,
2026.09.11 02:51:00,02:51:00,49,
2026.09.11 03:00:00,03:00:00,50,
2026.09.11 03:01:00,03:01:00,46,
2026.09.11 03:10:00,03:10:00,48,
2026.09.11 03:11:00,03:11:00,48,
2026.09.11 03:20:00,03:20:00,47,
2026.09.11 03:21:00,03:21:00,49,
2026.09.11 03:30:00,03:30:00,48,
2026.09.11 03:31:00,03:31:00,48,
2026.09.11 03:40:00,03:40:00,50,
2026.09.11 03:41:00,03:41:00,50,
2026.09.11 03:50:00,03:50:00,49,
2026.09.11 03:51:00,03:51:00,49,
2026.09.11 04:00:00,04:00:00,56,
2026.09.11 04:01:00,04:01:00,50,
2026.09.11 04:10:00,04:10:00,51,
2026.09.11 04:11:00,04:11:00,51,
2026.09.11 04:20:00,04:20:00,48,
2026.09.11 04:21:00,04:21:00,48,
2026.09.11 04:30:00,04:30:00,50,
2026.09.11 04:31:00,04:31:00,50,
2026.09.11 04:38:00,04:38:00,66,
2026.09.11 04:39:00,04:39:00,95,
2026.09.11 04:40:00,04:40:00,51,
2026.09.11 04:41:00,04:41:00,47,
2026.09.11 04:50:00,04:50:00,48,
2026.09.11 04:51:00,04:51:00,48,
2026.09.11 04:54:00,04:54:00,47,
2026.09.11 05:00:00,05:00:00,50,
2026.09.11 05:01:00,05:01:00,48,
2026.09.11 05:03:00,05:03:00,51,
2026.09.11 05:10:00,05:10:00,47,
2026.09.11 05:26:00,05:26:00,52,
2026.09.11 05:30:00,05:30:00,44,
2026.09.11 05:40:00,05:40:00,49,
2026.09.11 05:50:00,05:50:00,50,
2026.09.11 06:00:00,06:00:00,47,
2026.09.11 06:01:00,06:01:00,71,
2026.09.11 06:10:00,06:10:00,48,
2026.09.11 06:12:00,06:12:00,78,
2026.09.11 06:15:00,06:15:00,76,
2026.09.11 06:20:00,06:20:00,49,
2026.09.11 06:30:00,06:30:00,49,
2026.09.11 06:40:00,06:40:00,48,
2026.09.11 06:44:00,06:44:00,75,
2026.09.11 06:48:00,06:48:00,55,
2026.09.11 06:50:00,06:50:00,47,
2026.09.11 06:52:00,06:52:00,74,
2026.09.11 06:53:00,06:53:00,59,
2026.09.11 06:54:00,06:54:00,81,
2026.09.11 06:58:00,06:58:00,84,
2026.09.11 07:00:00,07:00:00,51,
2026.09.11 07:01:00,07:01:00,78,
2026.09.11 07:08:00,07:08:00,45,
2026.09.11 07:09:00,07:09:00,44,
2026.09.11 07:11:00,07:11:00,47,
2026.09.11 07:17:00,07:17:00,39,
2026.09.11 07:18:00,07:18:00,44,
2026.09.11 07:19:00,07:19:00,45,
2026.09.11 07:24:00,07:24:00,75,
2026.09.11 07:34:00,07:34:00,48,
2026.09.11 07:37:00,07:37:00,70,
2026.09.11 07:40:00,07:40:00,48,
2026.09.11 07:41:00,07:41:00,48,
2026.09.11 07:44:00,07:44:00,73,
2026.09.11 07:45:00,07:45:00,66,
2026.09.11 07:50:00,07:50:00,49,
2026.09.11 07:51:00,07:51:00,49,
2026.09.11 07:54:00,07:54:00,47,
2026.09.11 08:02:00,08:02:00,47,
2026.09.11 08:07:00,08:07:00,88,
2026.09.11 08:09:00,08:09:00,83,
2026.09.11 08:10:00,08:10:00,78,
2026.09.11 08:16:00,08:16:00,51,
2026.09.11 08:17:00,08:17:00,57,
2026.09.11 08:18:00,08:18:00,79,
2026.09.11 08:20:00,08:20:00,82,
2026.09.11 08:21:00,08:21:00,84,
2026.09.11 08:22:00,08:22:00,101,
2026.09.11 08:24:00,08:24:00,47,
2026.09.11 08:26:00,08:26:00,78,
2026.09.11 08:27:00,08:27:00,46,
2026.09.11 08:28:00,08:28:00,49,
2026.09.11 08:31:00,08:31:00,49,
2026.09.11 08:32:00,08:32:00,46,
2026.09.11 08:38:00,08:38:00,83,
2026.09.11 08:39:00,08:39:00,80,
2026.09.11 08:45:00,08:45:00,81,
2026.09.11 08:46:00,08:46:00,74,
2026.09.11 08:47:00,08:47:00,80,
2026.09.11 08:55:00,08:55:00,50,
2026.09.11 08:57:00,08:57:00,49,
2026.09.11 09:00:00,09:00:00,80,
2026.09.11 09:02:00,09:02:00,51,
2026.09.11 09:03:00,09:03:00,51,
2026.09.11 09:04:00,09:04:00,55,
2026.09.11 09:05:00,09:05:00,56,
2026.09.11 09:06:00,09:06:00,56,
2026.09.11 09:07:00,09:07:00,71,
2026.09.11 09:16:00,09:16:00,49,
2026.09.11 09:18:00,09:18:00,85,
2026.09.11 09:20:00,09:20:00,56,
2026.09.11 09:21:00,09:21:00,87,
2026.09.11 09:22:00,09:22:00,70,
2026.09.11 09:23:00,09:23:00,77,
2026.09.11 09:26:00,09:26:00,53,
2026.09.11 09:27:00,09:27:00,53,
2026.09.11 09:28:00,09:28:00,65,
2026.09.11 09:29:00,09:29:00,52,
2026.09.11 09:30:00,09:30:00,58,
2026.09.11 09:35:00,09:35:00,48,
2026.09.11 09:36:00,09:36:00,50,
2026.09.11 09:40:00,09:40:00,50,
2026.09.11 09:41:00,09:41:00,82,
2026.09.11 09:42:00,09:42:00,88,
2026.09.11 09:43:00,09:43:00,87,
2026.09.11 09:44:00,09:44:00,95,
2026.09.11 09:45:00,09:45:00,89,
2026.09.11 09:46:00,09:46:00,82,
2026.09.11 09:48:00,09:48:00,63,
2026.09.11 09:49:00,09:49:00,73,
2026.09.11 09:50:00,09:50:00,73,
2026.09.11 09:53:00,09:53:00,62,
2026.09.11 09:54:00,09:54:00,79,
2026.09.11 09:56:00,09:56:00,79,
2026.09.11 09:57:00,09:57:00,67,
2026.09.11 09:58:00,09:58:00,67,
2026.09.11 09:59:00,09:59:00,88,
2026.09.11 10:01:00,10:01:00,76,
2026.09.11 10:06:00,10:06:00,81,
2026.09.11 10:07:00,10:07:00,76,
2026.09.11 10:08:00,10:08:00,58,
2026.09.11 10:10:00,10:10:00,62,
2026.09.11 10:12:00,10:12:00,61,
2026.09.11 10:13:00,10:13:00,83,
2026.09.11 10:15:00,10:15:00,61,
2026.09.11 10:19:00,10:19:00,84,
2026.09.11 10:21:00,10:21:00,58,
2026.09.11 10:25:00,10:25:00,60,
2026.09.11 10:28:00,10:28:00,58,
2026.09.11 10:32:00,10:32:00,54,
2026.09.11 10:34:00,10:34:00,84,
2026.09.11 10:40:00,10:40:00,67,
2026.09.11 10:45:00,10:45:00,80,
2026.09.11 10:46:00,10:46:00,76,
2026.09.11 10:47:00,10:47:00,74,
2026.09.11 10:48:00,10:48:00,78,
2026.09.11 10:49:00,10:49:00,73,
2026.09.11 10:50:00,10:50:00,70,
2026.09.11 10:51:00,10:51:00,94,
2026.09.11 10:52:00,10:52:00,87,
