Fecha,Hora,Saturación de oxígeno
2026.09.13 00:16:00,00:16:00,96.0
2026.09.13 00:36:00,00:36:00,96.0
2026.09.13 02:00:00,02:00:00,96.0
2026.09.13 02:10:00,02:10:00,97.0
2026.09.13 02:20:00,02:20:00,97.0
2026.09.13 02:30:00,02:30:00,97.0
2026.09.13 02:40:00,02:40:00,96.0
2026.09.13 02:50:00,02:50:00,96.0
2026.09.13 03:00:00,03:00:00,96.0
2026.09.13 03:10:00,03:10:00,96.0
2026.09.13 03:30:00,03:30:00,98.0
2026.09.13 03:40:00,03:40:00,97.0
2026.09.13 03:51:00,03:51:00,97.0
2026.09.13 04:01:00,04:01:00,97.0
2026.09.13 04:11:00,04:11:00,97.0
2026.09.13 04:24:00,04:24:00,98.0
2026.09.13 04:31:00,04:31:00,98.0
2026.09.13 04:41:00,04:41:00,97.0
2026.09.13 04:51:00,04:51:00,97.0
2026.09.13 05:01:00,05:01:00,99.0
2026.09.13 05:11:00,05:11:00,99.0
2026.09.13 05:21:00,05:21:00,98.0
2026.09.13 05:31:00,05:31:00,98.0
2026.09.13 05:41:00,05:41:00,99.0
2026.09.13 05:51:00,05:51:00,98.0
2026.09.13 06:01:00,06:01:00,98.0
2026.09.13 06:11:00,06:11:00,98.0
2026.09.13 06:21:00,06:21:00,98.0
2026.09.13 06:31:00,06:31:00,98.0
2026.09.13 06:41:00,06:41:00,97.0
2026.09.13 07:01:00,07:01:00,97.0
2026.09.13 07:26:00,07:26:00,97.0
2026.09.13 07:31:00,07:31:00,96.0
2026.09.13 07:50:00,07:50:00,97.0
2026.09.13 08:01:00,08:01:00,98.0
2026.09.13 08:11:00,08:11:00,97.0
2026.09.13 08:20:00,08:20:00,96.0
2026.09.13 08:36:00,08:36:00,97.0
2026.09.13 08:40:00,08:40:00,98.0
2026.09.13 08:50:00,08:50:00,97.0
2026.09.13 09:01:00,09:01:00,99.0
2026.09.13 09:12:00,09:12:00,97.0
2026.09.13 12:15:00,12:15:00,96.0
2026.09.13 12:57:00,12:57:00,97.0
2026.09.13 13:01:00,13:01:00,98.0
2026.09.13 13:16:00,13:16:00,96.0
2026.09.13 13:26:00,13:26:00,96.0
2026.09.13 13:36:00,13:36:00,94.0
2026.09.13 16:06:00,16:06:00,95.0
2026.09.13 16:16:00,16:16:00,96.0
2026.09.13 17:00:00,17:00:00,95.0
2026.09.13 17:16:00,17:16:00,96.0
2026.09.13 18:16:00,18:16:00,96.0
2026.09.13 18:26:00,18:26:00,96.0
2026.09.13 18:45:00,18:45:00,96.0
2026.09.13 18:50:00,18:50:00,96.0
