Fecha,Hora,Saturación de oxígeno
2026.09.01 18:01:00,18:01:00,96.0
2026.09.01 18:10:00,18:10:00,96.0
2026.09.01 18:21:00,18:21:00,96.0
2026.09.01 18:41:00,18:41:00,96.0
2026.09.01 18:51:00,18:51:00,96.0
2026.09.01 19:36:00,19:36:00,96.0
2026.09.01 19:46:00,19:46:00,96.0
2026.09.01 20:16:00,20:16:00,96.0
2026.09.01 20:36:00,20:36:00,96.0
2026.09.01 20:46:00,20:46:00,96.0
2026.09.01 20:56:00,20:56:00,95.0
2026.09.01 21:06:00,21:06:00,96.0
2026.09.01 21:16:00,21:16:00,96.0
2026.09.01 21:26:00,21:26:00,96.0
2026.09.01 21:46:00,21:46:00,96.0
2026.09.01 22:06:00,22:06:00,96.0
2026.09.01 22:16:00,22:16:00,95.0
2026.09.01 22:26:00,22:26:00,96.0
2026.09.01 22:36:00,22:36:00,96.0
2026.09.01 23:26:00,23:26:00,96.0
2026.09.01 23:36:00,23:36:00,96.0
2026.09.02 00:16:00,00:16:00,96.0
2026.09.02 00:36:00,00:36:00,96.0
2026.09.02 00:50:00,00:50:00,96.0
2026.09.02 01:06:00,01:06:00,97.0
2026.09.02 02:10:00,02:10:00,96.0
2026.09.02 02:26:00,02:26:00,97.0
2026.09.02 02:30:00,02:30:00,97.0
2026.09.02 03:36:00,03:36:00,96.0
2026.09.02 03:46:00,03:46:00,97.0
2026.09.02 03:51:00,03:51:00,98.0
2026.09.02 04:21:00,04:21:00,96.0
2026.09.02 04:31:00,04:31:00,97.0
2026.09.02 04:41:00,04:41:00,96.0
2026.09.02 04:51:00,04:51:00,97.0
2026.09.02 05:01:00,05:01:00,96.0
2026.09.02 05:11:00,05:11:00,96.0
2026.09.02 05:21:00,05:21:00,96.0
2026.09.02 05:31:00,05:31:00,96.0
2026.09.02 05:41:00,05:41:00,97.0
2026.09.02 05:51:00,05:51:00,97.0
2026.09.02 06:01:00,06:01:00,96.0
2026.09.02 06:11:00,06:11:00,97.0
2026.09.02 06:21:00,06:21:00,96.0
2026.09.02 06:31:00,06:31:00,96.0
2026.09.02 06:41:00,06:41:00,97.0
2026.09.02 06:51:00,06:51:00,97.0
2026.09.02 07:01:00,07:01:00,96.0
2026.09.02 07:11:00,07:11:00,96.0
2026.09.02 07:30:00,07:30:00,96.0
2026.09.02 07:40:00,07:40:00,96.0
2026.09.02 07:50:00,07:50:00,96.0
2026.09.02 08:07:00,08:07:00,97.0
2026.09.02 08:11:00,08:11:00,96.0
2026.09.02 08:21:00,08:21:00,96.0
2026.09.02 08:30:00,08:30:00,96.0
