Fecha,Hora,Saturación de oxígeno
2026.08.12 17:56:00,17:56:00,96.0
2026.08.12 18:26:00,18:26:00,95.0
2026.08.12 18:36:00,18:36:00,96.0
2026.08.12 18:56:00,18:56:00,96.0
2026.08.12 19:06:00,19:06:00,96.0
2026.08.12 21:26:00,21:26:00,97.0
2026.08.12 21:40:00,21:40:00,96.0
2026.08.12 21:51:00,21:51:00,97.0
2026.08.12 22:31:00,22:31:00,96.0
2026.08.12 22:41:00,22:41:00,96.0
2026.08.12 22:51:00,22:51:00,93.0
2026.08.12 23:01:00,23:01:00,93.0
2026.08.12 23:11:00,23:11:00,96.0
2026.08.12 23:21:00,23:21:00,97.0
2026.08.12 23:31:00,23:31:00,98.0
2026.08.12 23:41:00,23:41:00,97.0
2026.08.12 23:51:00,23:51:00,98.0
2026.08.13 00:01:00,00:01:00,98.0
2026.08.13 00:11:00,00:11:00,98.0
2026.08.13 00:21:00,00:21:00,98.0
2026.08.13 00:31:00,00:31:00,98.0
2026.08.13 00:41:00,00:41:00,97.0
2026.08.13 00:51:00,00:51:00,98.0
2026.08.13 01:01:00,01:01:00,91.0
2026.08.13 01:11:00,01:11:00,99.0
2026.08.13 01:21:00,01:21:00,97.0
2026.08.13 01:31:00,01:31:00,98.0
2026.08.13 01:44:00,01:44:00,98.0
2026.08.13 01:51:00,01:51:00,98.0
2026.08.13 02:01:00,02:01:00,99.0
2026.08.13 02:11:00,02:11:00,94.0
2026.08.13 02:21:00,02:21:00,98.0
2026.08.13 02:31:00,02:31:00,97.0
2026.08.13 03:06:00,03:06:00,96.0
2026.08.13 03:10:00,03:10:00,96.0
2026.08.13 03:20:00,03:20:00,96.0
2026.08.13 03:30:00,03:30:00,96.0
2026.08.13 03:40:00,03:40:00,97.0
2026.08.13 03:50:00,03:50:00,97.0
2026.08.13 04:00:00,04:00:00,96.0
2026.08.13 04:10:00,04:10:00,98.0
2026.08.13 04:20:00,04:20:00,96.0
2026.08.13 04:30:00,04:30:00,97.0
2026.08.13 04:40:00,04:40:00,96.0
2026.08.13 04:50:00,04:50:00,97.0
2026.08.13 05:00:00,05:00:00,98.0
2026.08.13 05:10:00,05:10:00,98.0
2026.08.13 05:46:00,05:46:00,95.0
2026.08.13 07:56:00,07:56:00,96.0
2026.08.13 08:26:00,08:26:00,97.0
2026.08.13 09:26:00,09:26:00,96.0
2026.08.13 10:46:00,10:46:00,96.0
2026.08.13 11:16:00,11:16:00,96.0
2026.08.13 11:26:00,11:26:00,96.0
2026.08.13 11:36:00,11:36:00,96.0
2026.08.13 11:56:00,11:56:00,96.0
2026.08.13 12:06:00,12:06:00,96.0
2026.08.13 13:16:00,13:16:00,95.0
2026.08.13 13:26:00,13:26:00,95.0
2026.08.13 13:46:00,13:46:00,96.0
2026.08.13 13:56:00,13:56:00,95.0
2026.08.13 14:04:00,14:04:00,95.0
2026.08.13 14:16:00,14:16:00,96.0
2026.08.13 16:56:00,16:56:00,96.0
2026.08.13 17:06:00,17:06:00,96.0
2026.08.13 17:16:00,17:16:00,96.0
2026.08.13 17:26:00,17:26:00,96.0
2026.08.13 18:00:00,18:00:00,97.0
2026.08.13 18:10:00,18:10:00,96.0
2026.08.13 18:46:00,18:46:00,96.0
2026.08.13 18:56:00,18:56:00,96.0
2026.08.13 19:06:00,19:06:00,96.0
2026.08.13 19:46:00,19:46:00,96.0
2026.08.13 19:56:00,19:56:00,95.0
2026.08.13 20:46:00,20:46:00,96.0
2026.08.13 21:05:00,21:05:00,98.0
2026.08.13 21:11:00,21:11:00,98.0
2026.08.13 21:21:00,21:21:00,98.0
2026.08.13 21:31:00,21:31:00,97.0
2026.08.13 21:41:00,21:41:00,96.0
2026.08.13 21:51:00,21:51:00,96.0
2026.08.13 22:01:00,22:01:00,96.0
2026.08.13 22:11:00,22:11:00,96.0
2026.08.13 22:21:00,22:21:00,96.0
2026.08.13 22:31:00,22:31:00,96.0
2026.08.13 22:41:00,22:41:00,97.0
2026.08.13 22:51:00,22:51:00,97.0
2026.08.13 23:04:00,23:04:00,97.0
2026.08.13 23:11:00,23:11:00,97.0
2026.08.13 23:21:00,23:21:00,97.0
2026.08.13 23:31:00,23:31:00,97.0
2026.08.13 23:40:00,23:40:00,97.0
2026.08.13 23:50:00,23:50:00,97.0
2026.08.14 00:00:00,00:00:00,98.0
2026.08.14 00:56:00,00:56:00,96.0
2026.08.14 01:05:00,01:05:00,96.0
2026.08.14 01:11:00,01:11:00,96.0
2026.08.14 01:21:00,01:21:00,97.0
2026.08.14 01:31:00,01:31:00,97.0
2026.08.14 01:41:00,01:41:00,97.0
2026.08.14 01:51:00,01:51:00,97.0
2026.08.14 02:01:00,02:01:00,97.0
2026.08.14 02:11:00,02:11:00,97.0
2026.08.14 02:21:00,02:21:00,97.0
2026.08.14 02:31:00,02:31:00,97.0
2026.08.14 02:41:00,02:41:00,96.0
2026.08.14 02:51:00,02:51:00,97.0
2026.08.14 03:01:00,03:01:00,96.0
2026.08.14 03:17:00,03:17:00,97.0
2026.08.14 03:21:00,03:21:00,96.0
2026.08.14 03:31:00,03:31:00,97.0
2026.08.14 03:41:00,03:41:00,97.0
