Fecha,Hora,Saturación de oxígeno
2026.09.11 00:00:00,00:00:00,97.0
2026.09.11 00:10:00,00:10:00,97.0
2026.09.11 00:20:00,00:20:00,97.0
2026.09.11 00:30:00,00:30:00,97.0
2026.09.11 00:41:00,00:41:00,96.0
2026.09.11 00:51:00,00:51:00,98.0
2026.09.11 01:01:00,01:01:00,96.0
2026.09.11 01:12:00,01:12:00,96.0
2026.09.11 01:21:00,01:21:00,97.0
2026.09.11 01:31:00,01:31:00,97.0
2026.09.11 01:41:00,01:41:00,97.0
2026.09.11 01:51:00,01:51:00,97.0
2026.09.11 02:01:00,02:01:00,97.0
2026.09.11 02:11:00,02:11:00,97.0
2026.09.11 02:21:00,02:21:00,98.0
2026.09.11 02:31:00,02:31:00,96.0
2026.09.11 02:41:00,02:41:00,98.0
2026.09.11 02:51:00,02:51:00,98.0
2026.09.11 03:01:00,03:01:00,97.0
2026.09.11 03:11:00,03:11:00,97.0
2026.09.11 03:21:00,03:21:00,97.0
2026.09.11 03:31:00,03:31:00,97.0
2026.09.11 03:41:00,03:41:00,97.0
2026.09.11 03:51:00,03:51:00,97.0
2026.09.11 04:01:00,04:01:00,96.0
2026.09.11 04:11:00,04:11:00,97.0
2026.09.11 04:21:00,04:21:00,96.0
2026.09.11 04:31:00,04:31:00,96.0
2026.09.11 04:40:00,04:40:00,96.0
2026.09.11 04:51:00,04:51:00,97.0
2026.09.11 05:00:00,05:00:00,97.0
2026.09.11 05:10:00,05:10:00,97.0
2026.09.11 05:26:00,05:26:00,97.0
2026.09.11 05:30:00,05:30:00,97.0
2026.09.11 05:40:00,05:40:00,97.0
2026.09.11 05:50:00,05:50:00,98.0
2026.09.11 06:00:00,06:00:00,98.0
2026.09.11 06:10:00,06:10:00,96.0
2026.09.11 06:20:00,06:20:00,97.0
2026.09.11 06:30:00,06:30:00,97.0
2026.09.11 06:40:00,06:40:00,96.0
2026.09.11 06:50:00,06:50:00,96.0
2026.09.11 07:01:00,07:01:00,97.0
2026.09.11 07:41:00,07:41:00,97.0
2026.09.11 07:51:00,07:51:00,97.0
2026.09.11 08:31:00,08:31:00,97.0
2026.09.11 08:55:00,08:55:00,97.0
2026.09.11 09:20:00,09:20:00,96.0
2026.09.11 10:10:00,10:10:00,95.0
2026.09.11 10:46:00,10:46:00,96.0
2026.09.11 10:50:00,10:50:00,96.0
2026.09.11 11:16:00,11:16:00,95.0
2026.09.11 11:26:00,11:26:00,95.0
2026.09.11 11:36:00,11:36:00,95.0
2026.09.11 11:46:00,11:46:00,96.0
2026.09.11 11:56:00,11:56:00,96.0
2026.09.11 13:06:00,13:06:00,95.0
2026.09.11 13:16:00,13:16:00,95.0
2026.09.11 13:26:00,13:26:00,96.0
2026.09.11 13:56:00,13:56:00,96.0
2026.09.11 14:06:00,14:06:00,96.0
2026.09.11 14:16:00,14:16:00,96.0
2026.09.11 14:36:00,14:36:00,95.0
2026.09.11 15:46:00,15:46:00,96.0
2026.09.11 16:34:00,16:34:00,96.0
2026.09.11 16:46:00,16:46:00,95.0
2026.09.11 16:56:00,16:56:00,95.0
2026.09.11 17:16:00,17:16:00,96.0
2026.09.11 18:36:00,18:36:00,96.0
2026.09.11 19:00:00,19:00:00,95.0
2026.09.11 19:36:00,19:36:00,95.0
2026.09.11 19:46:00,19:46:00,96.0
2026.09.11 19:56:00,19:56:00,95.0
2026.09.11 20:16:00,20:16:00,96.0
2026.09.11 20:36:00,20:36:00,96.0
2026.09.11 20:46:00,20:46:00,95.0
2026.09.11 21:26:00,21:26:00,96.0
2026.09.11 21:36:00,21:36:00,96.0
2026.09.11 21:46:00,21:46:00,96.0
2026.09.11 22:06:00,22:06:00,95.0
2026.09.11 22:16:00,22:16:00,96.0
2026.09.11 22:36:00,22:36:00,96.0
2026.09.11 22:56:00,22:56:00,96.0
2026.09.11 23:06:00,23:06:00,96.0
2026.09.11 23:16:00,23:16:00,96.0
2026.09.11 23:26:00,23:26:00,95.0
2026.09.11 23:36:00,23:36:00,95.0
2026.09.11 23:46:00,23:46:00,95.0
2026.09.11 23:56:00,23:56:00,96.0
